song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
1182914,Stubborn Heart,Penetrate,sadness,negative,"defaultdict(<class 'int'>, {'anticipation': 0.8122320079427018, 'joy': 1.4325871237433514, 'surprise': 0.629168438679732, 'anger': 2.4433275631838454, 'disgust': 2.369982837442584, 'fear': 2.54524873614193, 'sadness': 2.6246488806208466, 'trust': 0.8512913910484966})","defaultdict(<class 'int'>, {'positive': 1.752963813946679, 'negative': 2.842947560501851})"
203614,Tom Waits,Shiny Things,disgust,negative,"defaultdict(<class 'int'>, {'trust': 0.12290953100607352, 'anger': 0.0851242768202814, 'disgust': 0.21794540974854043, 'fear': 0.0851242768202814, 'sadness': 0.15795095957299654, 'surprise': 0.07282668275271516})","defaultdict(<class 'int'>, {'positive': 0.20045727489925658, 'negative': 0.41368162350732907})"
1439794,Glass Hammer,This Fading Age,sadness,negative,"defaultdict(<class 'int'>, {'anticipation': 0.029721839685524644, 'fear': 0.7938106172813013, 'sadness': 1.4627451600928216, 'trust': 0.38726836918358665, 'joy': 0.08621328277373441, 'anger': 0.049831781484450006})","defaultdict(<class 'int'>, {'positive': 1.2320502945630456, 'negative': 2.066728266319666})"
5035547,Tilly And The Wall,Beat Control La La Lepus Remix,joy,positive,"defaultdict(<class 'int'>, {'anger': 0.3719305889860245, 'surprise': 0.19851161017040297, 'disgust': 0.1613957521557632, 'fear': 0.1613957521557632, 'sadness': 0.1613957521557632, 'trust': 0.19376643535940047, 'anticipation': 0.08100173849083045, 'joy': 0.6995186288831717})","defaultdict(<class 'int'>, {'negative': 0.3719305889860245, 'positive': 1.1361427724591278})"
3658427,LeeMoeFlvme,Trippin,anger,negative,"defaultdict(<class 'int'>, {'anger': 1.7726588966994772, 'disgust': 0.887780049624592, 'fear': 0.2235783924373271, 'sadness': 0.8495621694040812, 'anticipation': 0.14323864256886318, 'joy': 0.044380242017933856, 'trust': 0.11215387940160776})","defaultdict(<class 'int'>, {'negative': 1.7433714809791665, 'positive': 0.2631002303317954})"
1307971,Paul Van Dyk,Like a Friend Vandit Club Mix,trust,positive,"defaultdict(<class 'int'>, {'anger': 0.27077799206989717, 'fear': 0.6149696546303934, 'sadness': 0.27077799206989717, 'disgust': 0.12488106784107585, 'anticipation': 0.12741919816719033, 'joy': 3.1726149607257272, 'surprise': 0.09517746436985206, 'trust': 9.183056999610463})","defaultdict(<class 'int'>, {'negative': 0.27077799206989717, 'positive': 9.291787284938446})"
1328289,Ashes You Leave,Summers End,sadness,negative,"defaultdict(<class 'int'>, {'anger': 0.7925280832737527, 'disgust': 0.7252745217962265, 'sadness': 0.955815141001947, 'fear': 0.6560346200380712, 'surprise': 0.2284343022843248, 'trust': 0.3757072935220698, 'anticipation': 0.407774938829667, 'joy': 0.2284343022843248})","defaultdict(<class 'int'>, {'negative': 1.2706116337013773, 'positive': 0.5856787799289376})"
1143218,Melissa Manchester,Thief Of Hearts,fear,negative,"defaultdict(<class 'int'>, {'fear': 1.2513847787591994, 'trust': 0.4104965196876817, 'anticipation': 0.1893322054926549, 'joy': 0.26525009169128994, 'anger': 0.562363676698248, 'disgust': 0.562363676698248, 'sadness': 0.562363676698248, 'surprise': 0.6376020825136215})","defaultdict(<class 'int'>, {'negative': 1.124727353396496, 'positive': 0.60694464887312})"
4187295,Lloyd Banks,Move,anger,negative,"defaultdict(<class 'int'>, {'anger': 1.1496753011208933, 'fear': 0.6433856125317815, 'anticipation': 0.2914447491337223, 'joy': 0.26303831966373536, 'trust': 0.3349078669855886, 'disgust': 0.4859126838625086, 'sadness': 0.25448220103544034, 'surprise': 0.31162170627904423})","defaultdict(<class 'int'>, {'positive': 0.9237532725243836, 'negative': 1.507878265017962})"
7833349,Kelley Ray King,Look Again,surprise,positive,"defaultdict(<class 'int'>, {'trust': 2.2028873446547457, 'joy': 2.3240657395605586, 'anticipation': 1.3021936803784762, 'sadness': 1.7177957014551375, 'surprise': 2.6360624354822253, 'anger': 1.2180150204388565, 'fear': 1.1840066359254728, 'disgust': 0.034008384513383574})","defaultdict(<class 'int'>, {'positive': 3.190766018145419, 'negative': 1.2841801236053976})"
